region_i,region_j,deltaE00,deltaE76
gamut_014_ccyc,gamut_015_ccycc,6.244917889097298,8.706296453023064
gamut_014_ccyc,gamut_016_c,32.01053844659618,60.88461101843462
gamut_014_ccyc,gamut_017_ccmcc,33.39600072295939,60.365276279470706
gamut_014_ccyc,gamut_018_ccmc,34.25012902613541,60.77307099563991
gamut_014_ccyc,gamut_019_ccm,34.63939039872575,59.30302038214101
gamut_014_ccyc,gamut_020_ccmcm,35.032354454882224,59.72597423925585
gamut_014_ccyc,gamut_021_cm,35.60108793139259,59.9593292969595
gamut_014_ccyc,gamut_022_cmcmm,36.04807637406721,61.505729437783884
gamut_014_ccyc,gamut_023_cmm,36.375670104892414,62.10453357591474
gamut_014_ccyc,gamut_024_mcmm,36.77035293352643,62.420710039091546
gamut_014_ccyc,gamut_025_mmcmm,37.05672536544636,64.96631012093853
gamut_014_ccyc,gamut_026_m,36.51806035003337,73.1741943556908
gamut_014_ccyc,gamut_027_mmymm,47.11384874204529,58.81255917370574
gamut_014_ccyc,gamut_028_mmym,45.4029110989198,56.402414051449426
gamut_014_ccyc,gamut_029_mmy,42.62014815330954,53.45556148151591
gamut_014_ccyc,gamut_030_mmymy,40.9694940916714,52.70128025205751
gamut_015_ccycc,gamut_016_c,25.687086008542376,52.26645180792332
gamut_015_ccycc,gamut_017_ccmcc,27.57033047634311,51.985105608285686
gamut_015_ccycc,gamut_018_ccmc,28.634867718587063,52.532217551861685
gamut_015_ccycc,gamut_019_ccm,29.40507217806339,51.2730622248061
gamut_015_ccycc,gamut_020_ccmcm,29.89951752247745,51.80071719095632
gamut_015_ccycc,gamut_021_cm,30.71586507310486,52.27284080605623
gamut_015_ccycc,gamut_022_cmcmm,31.168513351597987,54.02114561408225
gamut_015_ccycc,gamut_023_cmm,31.583663205788568,54.79995130097719
gamut_015_ccycc,gamut_024_mcmm,32.24267852474012,55.4539887926331
gamut_015_ccycc,gamut_025_mmcmm,32.37424450677206,58.2240124964919
gamut_015_ccycc,gamut_026_m,33.18498784629646,67.91883836429824
gamut_015_ccycc,gamut_027_mmymm,39.362174736911605,55.88178404090712
gamut_015_ccycc,gamut_028_mmym,42.346395817170475,54.2962815806678
gamut_015_ccycc,gamut_029_mmy,40.20697052619933,52.5414836400292
gamut_015_ccycc,gamut_030_mmymy,38.913910194611866,52.508806587976764
gamut_016_c,gamut_017_ccmcc,10.071782102985985,11.48586867513884
gamut_016_c,gamut_018_ccmc,13.088078569632946,15.08369363121323
gamut_016_c,gamut_019_ccm,15.85835523589906,18.729081607044105
gamut_016_c,gamut_020_ccmcm,17.166809096462206,20.327721236640798
gamut_016_c,gamut_021_cm,19.617253822573087,23.49497728251999
gamut_016_c,gamut_022_cmcmm,21.44962077086212,25.9438797443899
gamut_016_c,gamut_023_cmm,22.92564464049376,28.09579025551496
gamut_016_c,gamut_024_mcmm,25.178665792160466,31.70817783581257
gamut_016_c,gamut_025_mmcmm,26.701123332341307,34.647475223318914
gamut_016_c,gamut_026_m,32.31869125976743,51.37515733600394
gamut_016_c,gamut_027_mmymm,33.83434947485129,59.83567107997045
gamut_016_c,gamut_028_mmym,34.59663833494174,63.361334289755646
gamut_016_c,gamut_029_mmy,35.94142253307895,68.13443828707662
gamut_016_c,gamut_030_mmymy,36.999285798216526,71.29625788484054
gamut_017_ccmcc,gamut_018_ccmc,3.02065655908501,3.608558008148298
gamut_017_ccmcc,gamut_019_ccm,5.845358430383211,7.39670612460594
